subgroup,modeldate,startdate,enddate,pollster,grade,samplesize,population,weight,influence,dem,rep,adjusted_dem,adjusted_rep,multiversions,tracking,url,poll_id,question_id,createddate,timestamp
All polls,4/23/2018,3/27/2017,3/28/2017,Public Policy Polling,B+,677,rv,.8197694,0,48,43,46.52198,42.70398,"","",http://www.publicpolicypolling.com/pdf/2017/PPP_Release_National_33017.pdf,49550,78152,3/29/2017,18:00:15 23 Apr 2018
All polls,4/23/2018,3/30/2017,4/1/2017,Morning Consult,"",1995,rv,.5631806,0,41,39,45.28529,39.94889,"","",https://morningconsult.com/wp-content/uploads/2017/04/170401_crosstabs_Politico_v3_AG-1.pdf,49577,78242,4/2/2017,18:00:15 23 Apr 2018
All polls,4/23/2018,4/6/2017,4/9/2017,Morning Consult,"",1988,rv,.4396639,0,43,40,47.28529,40.94889,"","",http://www.politico.com/f/?id=0000015b-5fbb-da80-afdf-dfff4d650002,49603,78241,4/10/2017,18:00:15 23 Apr 2018
All polls,4/23/2018,4/10/2017,4/11/2017,YouGov,B,1324,rv,.7601014,0,40,37,45.0789,40.23223,"","",https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/qs45iqlax3/econTabReport.pdf,49604,78156,4/12/2017,18:00:15 23 Apr 2018
All polls,4/23/2018,4/11/2017,4/12/2017,Marist College,A,869,rv,1.551308,0,45,38,45.08505,38.30987,"","",http://maristpoll.marist.edu/wp-content/misc/usapolls/us170411_Circus/Marist%20Poll_National%20Nature%20of%20the%20Sample%20and%20Tables_April%202017.pdf#page=3,49610,78154,4/13/2017,18:00:15 23 Apr 2018
All polls,4/23/2018,4/13/2017,4/15/2017,Morning Consult,"",1992,rv,.3963172,0,40,40,44.28529,40.94889,"","",https://morningconsult.com/2017/04/20/grading-trumps-first-100-days-office/,49633,78143,4/16/2017,18:00:15 23 Apr 2018
All polls,4/23/2018,4/15/2017,4/18/2017,YouGov,B,1291,rv,.6421857,0,38,32,43.0789,35.23223,"","",https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/3y1jngdqn7/econTabReport.pdf,49629,78200,4/19/2017,18:00:15 23 Apr 2018
All polls,4/23/2018,4/17/2017,4/18/2017,Public Policy Polling,B+,648,rv,.8634622,0,47,41,45.52198,40.70398,"","",http://www.publicpolicypolling.com/pdf/2017/PPP_Release_National_42017.pdf,49637,78149,4/19/2017,18:00:15 23 Apr 2018
All polls,4/23/2018,4/17/2017,4/20/2017,NBC News/Wall Street Journal,A-,759,rv,1.376634,0,47,43,45.9256,41.61629,"","",https://www.wsj.com/articles/americans-dissatisfaction-with-speaker-paul-ryan-congress-overall-is-growing-poll-finds-1493067612,49647,78201,4/21/2017,18:00:15 23 Apr 2018
All polls,4/23/2018,4/17/2017,4/20/2017,Gravis Marketing,B-,1665,rv,1.431754,0,47,42,46.91622,41.15197,"","",http://orlando-politics.com/2017/04/25/gravis-marketing-poll-donald-trump-approval-rate-sits-at-42-as-he-approaches-100-day-mark/,49768,78168,4/21/2017,18:00:15 23 Apr 2018
All polls,4/23/2018,4/20/2017,4/24/2017,Morning Consult,"",2032,rv,.3721353,0,40,44,44.28529,44.94889,"","",https://morningconsult.com/2017/04/26/trumps-border-wall-lowest-priority-funding-talks-voters-say/,49664,78165,4/25/2017,18:00:15 23 Apr 2018
All polls,4/23/2018,4/20/2017,4/24/2017,McLaughlin & Associates,C-,1000,lv,.7596359,0,43,43,44.88377,40.50666,"","",http://mclaughlinonline.com/2017/11/16/ma-national-survey-results-11-14-17/,50465,79640,4/25/2017,18:00:15 23 Apr 2018
All polls,4/23/2018,4/23/2017,4/25/2017,YouGov,B,1289,rv,.5827703,0,39,34,44.0789,37.23223,"","",https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/vndekayz1x/econTabReport.pdf,49656,78203,4/26/2017,18:00:15 23 Apr 2018
All polls,4/23/2018,4/23/2017,4/25/2017,Fox News,A,1009,rv,1.748541,0,47,42,46.92467,41.9214,"","",http://www.foxnews.com/politics/slideshow/2017/04/26/fox-news-poll-president-trumps-first-100-days.html,49666,78157,4/26/2017,18:00:15 23 Apr 2018
All polls,4/23/2018,4/22/2017,4/25/2017,CNN/Opinion Research Corp.,A-,922,rv,1.526587,0,49,41,47.95358,40.68474,"","","http://i2.cdn.turner.com/cnn/2017/images/04/28/rel5c.-.congress,.health.care.pdf",49668,78202,4/26/2017,18:00:15 23 Apr 2018
All polls,4/23/2018,4/27/2017,4/30/2017,Morning Consult,"",1998,rv,.3390556,0,41,41,45.28529,41.94889,"","",https://morningconsult.com/2017/05/03/people-split-states-treat-sickest-americans/,49689,78146,5/1/2017,18:00:15 23 Apr 2018
All polls,4/23/2018,4/29/2017,5/2/2017,YouGov,B,1255,rv,.5452315,0,38,35,43.0789,38.23223,"","",https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/blvmt31w4l/econTabReport.pdf,49688,78204,5/3/2017,18:00:15 23 Apr 2018
All polls,4/23/2018,5/4/2017,5/6/2017,Morning Consult,"",1996,rv,.3220279,0,42,36,46.28529,36.94889,"","",https://morningconsult.com/2017/05/10/obamacare-support-gop-alternative-poll-finds/,49712,78169,5/7/2017,18:00:15 23 Apr 2018
All polls,4/23/2018,5/4/2017,5/9/2017,Quinnipiac University,A-,1078,rv,1.533626,0,54,38,51.64606,37.80101,"","",https://poll.qu.edu/national/release-detail?ReleaseID=2456,49715,78207,5/10/2017,18:00:15 23 Apr 2018
All polls,4/23/2018,5/6/2017,5/9/2017,YouGov,B,1278,rv,.5431328,0,40,35,45.0789,38.23223,"","",https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/hdfqb3wks2/econTabReport.pdf,49713,78161,5/10/2017,18:00:15 23 Apr 2018
All polls,4/23/2018,5/9/2017,5/11/2017,Morning Consult,"",1731,rv,.2736808,0,42,37,46.28529,37.94889,"","",https://morningconsult.com/2017/05/11/partisanship-strong-factor-voters-stance-comey-firing/,49718,78167,5/12/2017,18:00:15 23 Apr 2018
All polls,4/23/2018,5/12/2017,5/14/2017,Morning Consult,"",2001,rv,.3190022,0,42,35,46.28529,35.94889,"","",https://morningconsult.com/2017/05/17/trumps-approval-slide-continues-morale-among-base-weakens/,49737,78144,5/15/2017,18:00:15 23 Apr 2018
All polls,4/23/2018,5/12/2017,5/14/2017,Public Policy Polling,B+,692,rv,.9491691,0,49,38,47.52198,37.70398,"","",http://www.publicpolicypolling.com/pdf/2017/PPP_Release_National_51617.pdf,49731,78166,5/15/2017,18:00:15 23 Apr 2018
All polls,4/23/2018,5/13/2017,5/16/2017,YouGov,B,1293,rv,.5405405,0,40,33,45.0789,36.23223,"","",https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/r7qogc932v/econTabReport.pdf,49739,78163,5/17/2017,18:00:15 23 Apr 2018
All polls,4/23/2018,5/18/2017,5/22/2017,Morning Consult,"",1938,rv,.3220312,0,41,37,45.28529,37.94889,"","",https://morningconsult.com/2017/05/24/trump-arrests-slide-despite-concerns-russia-probe-comey-firing/,49765,78148,5/23/2017,18:00:15 23 Apr 2018
All polls,4/23/2018,5/19/2017,5/23/2017,Ipsos,A-,405,rv,.0591054,0,43,36.1,47.39788,40.23436,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,49793,79323,5/24/2017,18:00:15 23 Apr 2018
All polls,4/23/2018,5/20/2017,5/23/2017,YouGov,B,1266,rv,.5263413,0,38,36,43.0789,39.23223,"","",https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/nkn28k0m0p/econTabReport.pdf,49764,78159,5/24/2017,18:00:15 23 Apr 2018
All polls,4/23/2018,5/20/2017,5/24/2017,Ipsos,A-,727,rv,.1019641,0,43.2,36,47.59788,40.13436,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,49792,79322,5/25/2017,18:00:15 23 Apr 2018
All polls,4/23/2018,5/21/2017,5/25/2017,Ipsos,A-,1055,rv,.142471,0,42.4,35.6,46.79788,39.73436,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,49791,79321,5/26/2017,18:00:15 23 Apr 2018
All polls,4/23/2018,5/22/2017,5/26/2017,Ipsos,A-,1554,rv,.2025182,0,41,36.3,45.39788,40.43436,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,49799,79320,5/27/2017,18:00:15 23 Apr 2018
All polls,4/23/2018,5/23/2017,5/27/2017,Ipsos,A-,1858,rv,.2343323,0,41.6,35.5,45.99788,39.63436,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,49798,79319,5/28/2017,18:00:15 23 Apr 2018
All polls,4/23/2018,5/24/2017,5/28/2017,Ipsos,A-,1785,rv,.2185307,0,39.9,36.2,44.29788,40.33436,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,49797,79318,5/29/2017,18:00:15 23 Apr 2018
All polls,4/23/2018,5/25/2017,5/29/2017,Ipsos,A-,1769,rv,.2107684,0,39.9,35.7,44.29788,39.83436,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,49796,79317,5/30/2017,18:00:15 23 Apr 2018
All polls,4/23/2018,5/25/2017,5/30/2017,Morning Consult,"",1991,rv,.3398651,0,43,39,47.28529,39.94889,"","",http://www.politico.com/f/?id=0000015c-5adf-d8e5-adff-5fffa65d0001,49803,78249,5/31/2017,18:00:15 23 Apr 2018
All polls,4/23/2018,5/26/2017,5/30/2017,Ipsos,A-,1792,rv,.2082694,0,39.8,35.5,44.19788,39.63436,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,49813,79316,5/31/2017,18:00:15 23 Apr 2018
All polls,4/23/2018,5/27/2017,5/31/2017,Ipsos,A-,1609,rv,.1828095,0,40.4,34.7,44.79788,38.83436,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,49812,79315,6/1/2017,18:00:15 23 Apr 2018
All polls,4/23/2018,5/27/2017,5/30/2017,YouGov,B,1266,rv,.5242935,0,39,33,44.0789,36.23223,"","",https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/sm62pd19o2/econTabReport.pdf,49801,78248,5/31/2017,18:00:15 23 Apr 2018
All polls,4/23/2018,5/28/2017,6/1/2017,Ipsos,A-,1587,rv,.1765804,0,40.2,34.5,44.59788,38.63436,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,49811,79314,6/2/2017,18:00:15 23 Apr 2018
All polls,4/23/2018,5/28/2017,5/31/2017,McLaughlin & Associates,C-,1000,lv,.8243063,0,43.4,43.6,45.28377,41.10666,"","",http://mclaughlinonline.com/2017/11/16/ma-national-survey-results-11-14-17/,50464,79639,6/1/2017,18:00:15 23 Apr 2018
All polls,4/23/2018,5/29/2017,6/2/2017,Ipsos,A-,1643,rv,.1793262,0,41.2,33.7,45.59788,37.83436,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,49821,79313,6/3/2017,18:00:15 23 Apr 2018
All polls,4/23/2018,5/30/2017,6/3/2017,Ipsos,A-,1818,rv,.1949715,0,41.4,34.7,45.79788,38.83436,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,49820,79312,6/4/2017,18:00:15 23 Apr 2018
All polls,4/23/2018,5/31/2017,6/4/2017,Ipsos,A-,2040,rv,.2153712,0,42.2,33.9,46.59788,38.03436,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,49819,79311,6/5/2017,18:00:15 23 Apr 2018
All polls,4/23/2018,6/1/2017,6/2/2017,Morning Consult,"",1999,rv,.3480529,0,42,39,46.28529,39.94889,"","",http://www.politico.com/story/2017/06/07/donald-trump-twitter-poll-239222,49824,78286,6/3/2017,18:00:15 23 Apr 2018
All polls,4/23/2018,6/1/2017,6/5/2017,Ipsos,A-,2031,rv,.2115215,0,42.3,33.7,46.69788,37.83436,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,49822,79310,6/6/2017,18:00:15 23 Apr 2018
All polls,4/23/2018,5/31/2017,6/6/2017,Quinnipiac University,A-,1361,rv,1.703868,0,51,39,48.64606,38.80101,"","",https://poll.qu.edu/national/release-detail?ReleaseID=2463,49828,78293,6/7/2017,18:00:15 23 Apr 2018
All polls,4/23/2018,5/31/2017,6/5/2017,Greenberg Quinlan Rosner (Democracy Corps),B-,1000,rv,1.256951,0,50,40,49.18183,38.77287,"","",http://www.democracycorps.com/attachments/article/1079/Dcor_WV_RAE%20Panel_Wave%203_Deck_1.24.18_for%20release.pdf,50841,80333,6/6/2017,18:00:15 23 Apr 2018
All polls,4/23/2018,6/2/2017,6/6/2017,Ipsos,A-,1983,rv,.2041398,0,42.8,33.5,47.19788,37.63436,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,49836,79309,6/7/2017,18:00:15 23 Apr 2018
All polls,4/23/2018,6/3/2017,6/7/2017,Ipsos,A-,1903,rv,.19401,0,42.8,33.4,47.19788,37.53436,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,49835,79308,6/8/2017,18:00:15 23 Apr 2018
All polls,4/23/2018,6/4/2017,6/6/2017,YouGov,B,1288,rv,.5317531,0,41,37,46.0789,40.23223,"","",https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/lssamz3o6b/econTabReport.pdf,49825,78287,6/7/2017,18:00:15 23 Apr 2018
All polls,4/23/2018,6/4/2017,6/8/2017,Ipsos,A-,1666,rv,.1684992,0,43,32.8,47.39788,36.93436,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,49834,79307,6/9/2017,18:00:15 23 Apr 2018
All polls,4/23/2018,6/5/2017,6/9/2017,Ipsos,A-,1303,rv,.1309249,0,44,32.1,48.39788,36.23436,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,49848,79306,6/10/2017,18:00:15 23 Apr 2018
All polls,4/23/2018,6/6/2017,6/10/2017,Ipsos,A-,1231,rv,.1229935,0,44.5,32.7,48.89788,36.83436,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,49847,79305,6/11/2017,18:00:15 23 Apr 2018
All polls,4/23/2018,6/7/2017,6/11/2017,Ipsos,A-,1232,rv,.1224984,0,44.7,33.2,49.09788,37.33436,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,49846,79304,6/12/2017,18:00:15 23 Apr 2018
All polls,4/23/2018,6/8/2017,6/12/2017,Ipsos,A-,1239,rv,.1226995,0,43.8,34.5,48.19788,38.63436,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,49845,79303,6/13/2017,18:00:15 23 Apr 2018
All polls,4/23/2018,6/8/2017,6/12/2017,Morning Consult,"",1990,rv,.3477959,0,42,39,46.28529,39.94889,"","",http://www.politico.com/f/?id=0000015c-a2f6-d070-a57d-effe677f0001,49855,78337,6/13/2017,18:00:15 23 Apr 2018
All polls,4/23/2018,6/9/2017,6/11/2017,Public Policy Polling,B+,811,rv,1.106688,0,50,40,48.52198,39.70398,"","",http://www.publicpolicypolling.com/pdf/2017/PPP_Release_National_61217.pdf,49842,78314,6/12/2017,18:00:15 23 Apr 2018
All polls,4/23/2018,6/9/2017,6/13/2017,Ipsos,A-,1263,rv,.124683,0,42.7,35.3,47.09788,39.43436,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,49861,79302,6/14/2017,18:00:15 23 Apr 2018
All polls,4/23/2018,6/10/2017,6/14/2017,Ipsos,A-,1328,rv,.1307782,0,42.3,36.9,46.69788,41.03436,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,49860,79301,6/15/2017,18:00:15 23 Apr 2018
All polls,4/23/2018,6/11/2017,6/13/2017,YouGov,B,1298,rv,.5352745,0,38,36,43.0789,39.23223,"","",https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/kc9nca1eho/econTabReport.pdf,49850,78331,6/14/2017,18:00:15 23 Apr 2018
All polls,4/23/2018,6/11/2017,6/15/2017,Ipsos,A-,1372,rv,.1348687,0,42.4,35.4,46.79788,39.53436,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,49859,79300,6/16/2017,18:00:15 23 Apr 2018
All polls,4/23/2018,6/12/2017,6/16/2017,Ipsos,A-,1368,rv,.1343062,0,43.3,35.9,47.69788,40.03436,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,49877,79299,6/17/2017,18:00:15 23 Apr 2018
All polls,4/23/2018,6/13/2017,6/17/2017,Ipsos,A-,1318,rv,.1292583,0,44.6,33.3,48.99788,37.43436,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,49876,79298,6/18/2017,18:00:15 23 Apr 2018
All polls,4/23/2018,6/14/2017,6/18/2017,Ipsos,A-,1300,rv,.1273315,0,45,32.2,49.39788,36.33436,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,49875,79297,6/19/2017,18:00:15 23 Apr 2018
All polls,4/23/2018,6/15/2017,6/19/2017,Morning Consult,"",2051,rv,.3572957,0,43,37,47.28529,37.94889,"","",https://morningconsult.com/wp-content/uploads/2017/06/170604_crosstabs_Politico_v1_TB-1.pdf,49881,78383,6/20/2017,18:00:15 23 Apr 2018
All polls,4/23/2018,6/15/2017,6/19/2017,Ipsos,A-,1285,rv,.1256742,0,45.4,31.2,49.79788,35.33436,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,49874,79296,6/20/2017,18:00:15 23 Apr 2018
All polls,4/23/2018,6/16/2017,6/20/2017,Ipsos,A-,1273,rv,.124282,0,45.2,32.5,49.59788,36.63436,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,49895,79295,6/21/2017,18:00:15 23 Apr 2018
All polls,4/23/2018,6/17/2017,6/21/2017,Ipsos,A-,1277,rv,.1244164,0,43.2,34.1,47.59788,38.23436,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,49894,79294,6/22/2017,18:00:15 23 Apr 2018
All polls,4/23/2018,6/18/2017,6/20/2017,YouGov,B,1277,rv,.5294887,0,38,35,43.0789,38.23223,"","",https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/b6o1y15enn/econTabReport.pdf,49878,78378,6/21/2017,18:00:15 23 Apr 2018
All polls,4/23/2018,6/17/2017,6/20/2017,NBC News/Wall Street Journal,A-,765,rv,1.385233,0,50,42,48.9256,40.61629,"","",http://msnbcmedia.msn.com/i/TODAY/z_Creative/17255%20NBCWSJJunePoll.pdf,49885,78387,6/21/2017,18:00:15 23 Apr 2018
All polls,4/23/2018,6/18/2017,6/22/2017,Ipsos,A-,1293,rv,.1257,0,43.2,34,47.59788,38.13436,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,49893,79293,6/23/2017,18:00:15 23 Apr 2018
All polls,4/23/2018,6/19/2017,6/23/2017,Ipsos,A-,1321,rv,.128142,0,42.4,33.8,46.79788,37.93436,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,49903,79292,6/24/2017,18:00:15 23 Apr 2018
All polls,4/23/2018,6/20/2017,6/24/2017,Ipsos,A-,1311,rv,.1269029,0,41.1,33.5,45.49788,37.63436,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,49902,79291,6/25/2017,18:00:15 23 Apr 2018
All polls,4/23/2018,6/21/2017,6/25/2017,Ipsos,A-,1308,rv,.1263406,0,41.5,33,45.89788,37.13436,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,49901,79290,6/26/2017,18:00:15 23 Apr 2018
All polls,4/23/2018,6/22/2017,6/24/2017,Morning Consult,"",1994,rv,.3491995,0,42,40,46.28529,40.94889,"","",http://www.politico.com/f/?id=0000015c-eab8-d0dd-ad5e-febabb7b0001,49908,78427,6/25/2017,18:00:15 23 Apr 2018
All polls,4/23/2018,6/21/2017,6/25/2017,Marist College,A,995,rv,1.849308,0,48,38,48.08505,38.30987,"","",http://maristpoll.marist.edu/wp-content/misc/usapolls/us170621_PBS_NPR/NPR_PBS%20NewsHour_Marist%20Poll_National%20Nature%20of%20the%20Sample%20and%20Tables_Trump_Congress_Health%20Care_June%202017.pdf#page=3,49910,78429,6/26/2017,18:00:15 23 Apr 2018
All polls,4/23/2018,6/22/2017,6/26/2017,Ipsos,A-,1314,rv,.1266282,0,42.7,31.5,47.09788,35.63436,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,49900,79289,6/27/2017,18:00:15 23 Apr 2018
All polls,4/23/2018,6/22/2017,6/27/2017,Quinnipiac University,A-,1212,rv,1.542879,0,51,41,48.64606,40.80101,"","",https://poll.qu.edu/images/polling/us/us06292017_U29wzguu.pdf/,49917,78440,6/28/2017,18:00:15 23 Apr 2018
All polls,4/23/2018,6/23/2017,6/27/2017,Ipsos,A-,1348,rv,.1295893,0,41.8,32.4,46.19788,36.53436,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,49920,79288,6/28/2017,18:00:15 23 Apr 2018
All polls,4/23/2018,6/24/2017,6/28/2017,Ipsos,A-,1362,rv,.1306091,0,42.1,33.5,46.49788,37.63436,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,49922,79287,6/29/2017,18:00:15 23 Apr 2018
All polls,4/23/2018,6/25/2017,6/27/2017,YouGov,B,1279,rv,.5306755,0,41,35,46.0789,38.23223,"","",https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/p97ezf7wcq/econTabReport.pdf,49909,78428,6/28/2017,18:00:15 23 Apr 2018
All polls,4/23/2018,6/25/2017,6/27/2017,Fox News,A,1017,rv,1.759004,0,47,41,46.92467,40.9214,"","",http://www.foxnews.com/politics/interactive/2017/06/28/fox-news-poll-june-28-2017.html,49912,78434,6/28/2017,18:00:15 23 Apr 2018
All polls,4/23/2018,6/25/2017,6/29/2017,Ipsos,A-,1336,rv,.1277892,0,42.5,33,46.89788,37.13436,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,49921,79286,6/30/2017,18:00:15 23 Apr 2018
All polls,4/23/2018,6/26/2017,6/30/2017,Ipsos,A-,1411,rv,.1346205,0,41.5,34.1,45.89788,38.23436,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,49938,79285,7/1/2017,18:00:15 23 Apr 2018
All polls,4/23/2018,6/27/2017,7/1/2017,Ipsos,A-,1409,rv,.1341309,0,39.7,35.2,44.09788,39.33436,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,49937,79284,7/2/2017,18:00:15 23 Apr 2018
All polls,4/23/2018,6/29/2017,6/30/2017,Morning Consult,"",1989,rv,.3473906,0,43,39,47.28529,39.94889,"","",https://morningconsult.com/wp-content/uploads/2017/07/170612_crosstabs_POLITICO_v2_AP-1.pdf,49941,78483,7/1/2017,18:00:15 23 Apr 2018
All polls,4/23/2018,6/28/2017,7/2/2017,Ipsos,A-,1378,rv,.1309311,0,40.3,35.3,44.69788,39.43436,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,49936,79283,7/3/2017,18:00:15 23 Apr 2018
All polls,4/23/2018,6/29/2017,7/3/2017,Ipsos,A-,1318,rv,.1250313,0,41.6,35.8,45.99788,39.93436,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,49935,79282,7/4/2017,18:00:15 23 Apr 2018
All polls,4/23/2018,6/30/2017,7/4/2017,Ipsos,A-,1369,rv,.1296903,0,42.3,36.1,46.69788,40.23436,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,49934,79281,7/5/2017,18:00:15 23 Apr 2018
All polls,4/23/2018,7/1/2017,7/5/2017,Ipsos,A-,1298,rv,.1228252,0,43.3,36.2,47.69788,40.33436,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,49946,79280,7/6/2017,18:00:15 23 Apr 2018
All polls,4/23/2018,7/3/2017,7/4/2017,YouGov,B,1310,rv,.5363032,0,37,35,42.0789,38.23223,"","",https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/o8w3rbul29/econTabReport.pdf,49932,78463,7/5/2017,18:00:15 23 Apr 2018
All polls,4/23/2018,7/2/2017,7/6/2017,Ipsos,A-,1330,rv,.1257221,0,43.5,35.4,47.89788,39.53436,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,49945,79279,7/7/2017,18:00:15 23 Apr 2018
All polls,4/23/2018,7/3/2017,7/7/2017,Ipsos,A-,1337,rv,.1262131,0,43.8,34.2,48.19788,38.33436,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,49956,79278,7/8/2017,18:00:15 23 Apr 2018
